MaterialNumber,MaterialName,PurchasingGroupDescription,PurchasingGroup,MaterialDescription,Total_stock,Unrestricted_use_stock,Blocked_stock,Block_reason,Blocked_date,Solution_date,Solution,PurchasingGroupDescription_KR,MaterialDescription_KR,Solution_KR,Block_reason_KR
59829111,PO√ÑNG,Sofas & armchairs,P13,Footstool,3936,1241,2695,Safety concerns trigger an urgent recall of specific product batches to ensure consumer safety.,1/20/24,1/31/24,"[{""Instruction_step"": 1, ""Instruction"": ""Identify and document the affected product batches."", ""ResponsibleDepartment"": ""Quality Assurance""}, {""Instruction_step"": 2, ""Instruction"": ""Issue a recall notice and communicate with customers and regulatory bodies."", ""ResponsibleDepartment"": ""Public Relations""}, {""Instruction_step"": 3, ""Instruction"": ""Arrange for the return or disposal of the recalled products."", ""ResponsibleDepartment"": ""Logistics""}, {""Instruction_step"": 4, ""Instruction"": ""Investigate the cause of the safety issue and implement corrective measures."", ""ResponsibleDepartment"": ""Product Development""}, {""Instruction_step"": 1, ""Instruction"": ""Initiate recall procedure and notify affected parties."", ""ResponsibleDepartment"": ""Quality Assurance""}, {""Instruction_step"": 2, ""Instruction"": ""Identify and isolate the affected product batches."", ""ResponsibleDepartment"": ""Warehouse Management""}, {""Instruction_step"": 3, ""Instruction"": ""Communicate with customers for product return or disposal."", ""ResponsibleDepartment"": ""Customer Service""}]",소파 & 안락의자,발판,"[{""Instruction_step"": 1, ""Instruction_KR"": ""영향을 받은 제품 배치를 식별하고 문서화하십시오."", ""ResponsibleDepartment_KR"": ""품질 관리""}, {""Instruction_step"": 2, ""Instruction_KR"": ""리콜 공지를 발행하고 고객 및 규제 기관과 소통하십시오."", ""ResponsibleDepartment_KR"": ""공공 관계""}, {""Instruction_step"": 3, ""Instruction_KR"": ""리콜된 제품의 반품 또는 폐기를 준비하십시오."", ""ResponsibleDepartment_KR"": ""물류""}, {""Instruction_step"": 4, ""Instruction_KR"": ""안전 문제의 원인을 조사하고 수정 조치를 시행하십시오."", ""ResponsibleDepartment_KR"": ""제품 개발 (Product Development)""}, {""Instruction_step"": 1, ""Instruction_KR"": ""리콜 절차를 시작하고 영향을 받는 당사자에게 알리십시오."", ""ResponsibleDepartment_KR"": ""품질 관리""}, {""Instruction_step"": 2, ""Instruction_KR"": ""영향을 받은 제품 배치를 식별하고 격리하십시오."", ""ResponsibleDepartment_KR"": ""창고 관리""}, {""Instruction_step"": 3, ""Instruction_KR"": ""제품 반품 또는 폐기를 위해 고객과 소통하십시오."", ""ResponsibleDepartment_KR"": ""고객 서비스""}]",안전 문제로 특정 제품 배치에 대한 긴급 리콜이 발생하여 소비자의 안전을 보장합니다.
250249,VITTSJ√ñ,Tables & desks,P14,"Laptop stand,  35x65 cm",44928,10271,34657,"Identification of packaging defects that compromise product integrity before shipment, necessitating immediate corrective measures.",3/10/24,4/23/24,"[{""Instruction_step"": 1, ""Instruction"": ""Conduct a comprehensive review of the current packaging process to identify the defect."", ""ResponsibleDepartment"": ""Quality Assurance""}, {""Instruction_step"": 2, ""Instruction"": ""Implement immediate corrective measures to address the identified packaging defects."", ""ResponsibleDepartment"": ""Production""}, {""Instruction_step"": 3, ""Instruction"": ""Reevaluate packaging materials and suppliers to ensure higher quality standards."", ""ResponsibleDepartment"": ""Procurement""}, {""Instruction_step"": 4, ""Instruction"": ""Train staff on new packaging protocols to prevent future defects."", ""ResponsibleDepartment"": ""Human Resources""}, {""Instruction_step"": 5, ""Instruction"": ""Institute regular packaging audits for ongoing quality assurance."", ""ResponsibleDepartment"": ""Quality Control""}]",테이블 & 책상,"노트북 스탠드, 35x65 cm","[{""Instruction_step"": 1, ""Instruction_KR"": ""현재의 포장 과정에 대한 종합적인 검토를 실시하여 결함을 확인하십시오."", ""ResponsibleDepartment_KR"": ""품질관리""}, {""Instruction_step"": 2, ""Instruction_KR"": ""식별된 포장 결함을 해결하기 위해 즉각적인 수정 조치를 시행하십시오."", ""ResponsibleDepartment_KR"": ""생산""}, {""Instruction_step"": 3, ""Instruction_KR"": ""더 높은 품질 표준을 보장하기 위해 포장재와 공급업체를 재평가하십시오."", ""ResponsibleDepartment_KR"": ""구매조달""}, {""Instruction_step"": 4, ""Instruction_KR"": ""미래의 결함을 방지하기 위해 새로운 포장 프로토콜에 대해 직원들을 교육하십시오."", ""ResponsibleDepartment_KR"": ""인사관리""}, {""Instruction_step"": 5, ""Instruction_KR"": ""지속적인 품질 보증을 위해 정기적인 포장 감사를 실시하십시오."", ""ResponsibleDepartment_KR"": ""품질관리""}]",출하 전에 제품의 무결성을 저해하는 포장 결함을 식별하여 즉각적인 시정 조치가 필요합니다.
10364523,KALLVIKEN,TV & media furniture,P16,"Door,  60x64 cm",9224,6962,2262,"Extended customs hold for certain shipments due to the need for additional documentation, impacting delivery timelines.",3/10/24,5/6/24,"[{""Instruction_step"": 1, ""Instruction"": ""Provide additional required documentation to customs authorities promptly."", ""ResponsibleDepartment"": ""Customs Liaison""}, {""Instruction_step"": 2, ""Instruction"": ""Review and optimize documentation process for future shipments."", ""ResponsibleDepartment"": ""Export Compliance""}]",TV 및 미디어 가구,"문, 60x64 cm","[{""Instruction_step"": 1, ""Instruction_KR"": ""관세당국에게 필요한 추가 서류를 신속하게 제공하십시오."", ""ResponsibleDepartment_KR"": ""통관팀""}, {""Instruction_step"": 2, ""Instruction_KR"": ""미래의 발송을 위해 문서화 프로세스를 검토하고 최적화하십시오."", ""ResponsibleDepartment_KR"": ""통관팀""}]",추가 문서 작성이 필요한 일부 화물로 인해 통관 보류가 연장되어 배송 일정에 영향을 미칩니다.
39213915,KLIMPEN,Tables & desks,P14,"Table,  150x75 cm",31215,10104,21111,Critical feedback on packaging quality leading to a review of packaging materials and processes.,6/20/24,6/27/24,"[{""Instruction_step"": 1, ""Instruction"": ""Gather critical feedback and analyze for common issues."", ""ResponsibleDepartment"": ""Quality Control""}, {""Instruction_step"": 2, ""Instruction"": ""Review and test packaging materials to ensure they meet quality standards."", ""ResponsibleDepartment"": ""Research and Development""}, {""Instruction_step"": 3, ""Instruction"": ""Update packaging processes to incorporate better materials and practices."", ""ResponsibleDepartment"": ""Production""}]",테이블 & 책상,"테이블, 150x75 cm","[{""Instruction_step"": 1, ""Instruction_KR"": ""중요한 피드백을 수집하고 공통 문제를 분석하십시오."", ""ResponsibleDepartment_KR"": ""품질 관리""}, {""Instruction_step"": 2, ""Instruction_KR"": ""포장재를 검토하고 테스트하여 품질 표준을 충족하는지 확인하십시오."", ""ResponsibleDepartment_KR"": ""연구 및 개발""}, {""Instruction_step"": 3, ""Instruction_KR"": ""더 나은 재료와 방법론을 포함하도록 포장 공정을 업데이트하십시오."", ""ResponsibleDepartment_KR"": ""생산""}]",포장 품질에 대한 중요한 피드백이 포장 재료와 과정의 검토로 이어집니다.
50391421,NORDLI,Chests of drawers & drawer units,P07,"Top and plinth,  40x47 cm",49770,26562,23208,"Discrepancies in item quantity received by customers, leading to complaints and requests for order rectification.",5/6/24,5/8/24,"[{""Instruction_step"": 1, ""Instruction"": ""Conduct an order review and process any necessary corrections."", ""ResponsibleDepartment"": ""Customer Service""}]",서랍장 및 서랍 유닛,"상단 및 받침대, 40x47 cm","[{""Instruction_step"": 1, ""Instruction_KR"": ""주문 검토를 진행하고 필요한 수정 사항을 처리하십시오."", ""ResponsibleDepartment_KR"": ""고객 서비스""}]",고객이 받은 품목 수량의 불일치로 인해 불만과 주문 정정 요청이 발생합니다.
80369112,NORDVIKEN,Chairs,P06,"Bar stool with backrest,  75 cm",43513,42313,1200,"Discrepancies in item quantity received by customers, leading to complaints and requests for order rectification.",5/23/24,7/13/24,"[{""Instruction_step"": 1, ""Instruction"": ""Conduct an order review and process any necessary corrections."", ""ResponsibleDepartment"": ""Customer Service""}]",의자들,"등받이가 있는 바 의자, 75 cm","[{""Instruction_step"": 1, ""Instruction_KR"": ""주문 검토를 진행하고 필요한 수정 사항을 처리하십시오."", ""ResponsibleDepartment_KR"": ""고객 서비스""}]",고객이 받은 품목 수량의 불일치로 인해 불만과 주문 정정 요청이 발생합니다.
29203889,PLATSA,Wardrobes,P17,"Wardrobe,  140x57x261 cm",18738,4109,14629,"Experiencing supplier delays that result in inventory shortages, affecting order fulfillment capabilities.",3/19/24,7/7/24,"[{""Instruction_step"": 1, ""Instruction"": ""Identify alternative suppliers to mitigate the impact of delays."", ""ResponsibleDepartment"": ""Supply Chain Management""}]",옷장,"옷장, 140x57x261 cm","[{""Instruction_step"": 1, ""Instruction_KR"": ""지연의 영향을 완화하기 위해 대체 공급업체를 식별하십시오."", ""ResponsibleDepartment_KR"": ""공급망 관리""}]",공급 업체의 지연으로 인해 재고 부족이 발생하여 주문 이행 능력에 영향을 미치는 경험.
99239615,NORSBORG,Sofas & armchairs,P13,Cover for 3-seat sofa,26502,5913,20589,"Extended customs hold for certain shipments due to the need for additional documentation, impacting delivery timelines.",4/13/24,8/1/24,"[{""Instruction_step"": 1, ""Instruction"": ""Provide additional required documentation to customs authorities promptly."", ""ResponsibleDepartment"": ""Customs Liaison""}, {""Instruction_step"": 2, ""Instruction"": ""Review and optimize documentation process for future shipments."", ""ResponsibleDepartment"": ""Export Compliance""}]",소파 & 안락의자,3인용 소파 커버,"[{""Instruction_step"": 1, ""Instruction_KR"": ""관세당국에게 필요한 추가 서류를 신속하게 제공하십시오."", ""ResponsibleDepartment_KR"": ""통관팀""}, {""Instruction_step"": 2, ""Instruction_KR"": ""미래의 발송을 위해 문서화 프로세스를 검토하고 최적화하십시오."", ""ResponsibleDepartment_KR"": ""통관팀""}]",추가 문서 작성이 필요한 일부 화물로 인해 통관 보류가 연장되어 배송 일정에 영향을 미칩니다.
89241614,NORSBORG,Sofas & armchairs,P13,Armrest,6501,5851,650,Mechanical failures in transportation fleet causing significant disruptions in delivery schedules.,4/3/24,7/4/24,"[{""Instruction_step"": 1, ""Instruction"": ""Assess and repair the mechanical failures immediately."", ""ResponsibleDepartment"": ""Fleet Maintenance""}, {""Instruction_step"": 2, ""Instruction"": ""Arrange for alternative transportation means to maintain delivery schedules."", ""ResponsibleDepartment"": ""Logistics""}]",소파 & 안락의자,팔걸이,"[{""Instruction_step"": 1, ""Instruction_KR"": ""즉시 기계적 결함을 평가하고 수리하십시오."", ""ResponsibleDepartment_KR"": ""장비 유지 보수""}, {""Instruction_step"": 2, ""Instruction_KR"": ""배송 일정을 유지하기 위해 대체 교통 수단을 준비하십시오."", ""ResponsibleDepartment_KR"": ""물류""}]",운송 편의 기계적 결함으로 인해 배송 일정에 중요한 차질이 발생하고 있습니다.
69276256,M√ñCKELBY / HENRIKSDAL,Tables & desks,P14,"Table and 6 chairs,  235x100 cm",10535,7484,3051,"Identification of packaging defects that compromise product integrity before shipment, necessitating immediate corrective measures.",6/6/24,9/3/24,"[{""Instruction_step"": 1, ""Instruction"": ""Conduct a comprehensive review of the current packaging process to identify the defect."", ""ResponsibleDepartment"": ""Quality Assurance""}, {""Instruction_step"": 2, ""Instruction"": ""Implement immediate corrective measures to address the identified packaging defects."", ""ResponsibleDepartment"": ""Production""}, {""Instruction_step"": 3, ""Instruction"": ""Reevaluate packaging materials and suppliers to ensure higher quality standards."", ""ResponsibleDepartment"": ""Procurement""}, {""Instruction_step"": 4, ""Instruction"": ""Train staff on new packaging protocols to prevent future defects."", ""ResponsibleDepartment"": ""Human Resources""}, {""Instruction_step"": 5, ""Instruction"": ""Institute regular packaging audits for ongoing quality assurance."", ""ResponsibleDepartment"": ""Quality Control""}]",테이블 & 책상,"테이블과 6개의 의자, 235x100 cm","[{""Instruction_step"": 1, ""Instruction_KR"": ""현재의 포장 과정에 대한 종합적인 검토를 실시하여 결함을 확인하십시오."", ""ResponsibleDepartment_KR"": ""품질관리""}, {""Instruction_step"": 2, ""Instruction_KR"": ""식별된 포장 결함을 해결하기 위해 즉각적인 수정 조치를 시행하십시오."", ""ResponsibleDepartment_KR"": ""생산""}, {""Instruction_step"": 3, ""Instruction_KR"": ""더 높은 품질 표준을 보장하기 위해 포장재와 공급업체를 재평가하십시오."", ""ResponsibleDepartment_KR"": ""구매조달""}, {""Instruction_step"": 4, ""Instruction_KR"": ""미래의 결함을 방지하기 위해 새로운 포장 프로토콜에 대해 직원들을 교육하십시오."", ""ResponsibleDepartment_KR"": ""인사관리""}, {""Instruction_step"": 5, ""Instruction_KR"": ""지속적인 품질 보증을 위해 정기적인 포장 감사를 실시하십시오."", ""ResponsibleDepartment_KR"": ""품질관리""}]",출하 전에 제품의 무결성을 저해하는 포장 결함을 식별하여 즉각적인 수정 조치가 필요합니다.
